name,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,avg,avg_rank
alpha073,0.7142857142857143,0.2,,,0.7894736842105263,,0.06666666666666667,0.4,0.31666666666666665,0.26666666666666666,14.24498746867168,0.09836065573770492
alpha077,0.3392857142857143,0.23636363636363636,0.5283018867924528,0.42592592592592593,0.2631578947368421,0.13559322033898305,0.16666666666666666,0.5,0.2833333333333333,0.2833333333333333,16.779971146812155,0.19672131147540983
alpha078,0.21428571428571427,0.7272727272727273,0.37735849056603776,0.5925925925925926,0.22807017543859648,0.7796610169491526,0.21666666666666667,0.03333333333333333,0.25,0.5833333333333334,20.856260656454218,0.29508196721311475
alpha083,0.8571428571428571,0.8727272727272727,0.24528301886792453,0.9629629629629629,1.0,1.0,1.0,1.0,0.9833333333333333,0.8833333333333333,50.873631644386364,1.0
alpha084,0.07142857142857142,0.10909090909090909,0.018867924528301886,0.018518518518518517,0.15789473684210525,0.05084745762711865,0.1,0.9166666666666666,0.1,0.21666666666666667,12.61484666724261,0.04918032786885246
alpha085,0.4107142857142857,0.8909090909090909,0.3584905660377358,0.2222222222222222,0.631578947368421,0.8305084745762712,0.45,0.85,0.05,0.15,24.197838638834295,0.36065573770491804
alpha088,0.75,0.6909090909090909,0.9811320754716981,0.9444444444444444,0.12280701754385964,0.1694915254237288,0.08333333333333333,0.18333333333333332,0.48333333333333334,0.5,21.883976426272724,0.3114754098360656
alpha094,0.9285714285714286,0.9272727272727272,1.0,0.8703703703703703,0.17543859649122806,0.06779661016949153,0.11666666666666667,0.05,0.13333333333333333,0.16666666666666666,14.631904341404786,0.11475409836065574
alpha098,0.2857142857142857,0.41818181818181815,0.2830188679245283,0.24074074074074073,0.47368421052631576,0.4745762711864407,0.2,0.5833333333333334,0.7,0.5166666666666667,25.683309501898027,0.47540983606557374
alpha101,0.875,0.9818181818181818,0.9622641509433962,0.4444444444444444,0.6842105263157895,0.559322033898305,0.016666666666666666,0.8666666666666667,0.03333333333333333,0.6666666666666666,28.29685809587977,0.5573770491803278
